Time,Lat,Lon,Dpth,ODO,Turb,Ct,pH,Temp,ORP,CHL
1667594916.47382,35.0837106,-106.671513,4.67000007629395,7.15755987167358,5.11056280136108,0.390817284584045,8.20024871826172,13.1415710449219,220.280685424805,1.37639427185059
1667594976.44512,35.0836086,-106.6712522,4.1399998664856,7.13946056365967,4.89244985580444,0.391095399856567,8.16368007659912,12.8390808105469,228.385772705078,7.36361980438232
1667595036.41264,35.0834708,-106.6713081,4.6100001335144,7.09627389907837,4.60776329040527,0.390817999839783,8.13232231140137,12.6745910644531,231.400756835937,7.71932601928711
1667595096.41874,35.0835232,-106.6714944,4.61999988555908,7.09601354598999,4.63902568817139,0.391173660755158,8.13622760772705,12.61376953125,230.876495361328,8.52774047851563
1667595156.46173,35.0836296,-106.6713816,4.69000005722046,7.09065055847168,5.10157632827759,0.38826048374176,8.13075828552246,12.60498046875,233.306335449219,9.49436187744141
1667595216.41032,35.083515,-106.6712515,4.6399998664856,7.07948207855225,4.90542221069336,0.393063008785248,8.12380218505859,12.5838317871094,234.983734130859,9.58879375457764
1667595276.43214,35.0834779,-106.6714438,4.63000011444092,7.10381126403809,4.66446113586426,0.396560728549957,8.12074756622314,12.5653381347656,235.437927246094,9.4044075012207
1667595336.47441,35.0836314,-106.671488,4.65999984741211,7.08106422424316,4.62561845779419,0.391901254653931,8.11958408355713,12.5749816894531,235.840850830078,8.46248245239258
1667595396.39969,35.0835311,-106.671267,4.65999984741211,7.08406352996826,4.70676326751709,0.39443701505661,8.07206535339356,12.5767822265625,236.299331665039,8.32857418060303
1667595456.42354,35.0834327,-106.6711596,4.1100001335144,7.10761213302612,4.44565391540527,0.414646178483963,8.15666580200195,12.5908508300781,237.738616943359,8.37997913360596
1667595516.41076,35.083482,-106.6714,4.65000009536743,7.10612440109253,4.71528911590576,0.411120802164078,8.19210529327393,12.56884765625,238.284301757812,7.41319370269775
1667595576.42327,35.0835738,-106.6715587,4.54999971389771,7.08549737930298,4.67674350738525,0.408775091171265,8.19363975524902,12.5767822265625,239.364501953125,10.0655736923218
1667595636.43355,35.0835694,-106.6714386,4.65000009536743,7.10066270828247,4.4095025062561,0.412358283996582,8.20294952392578,12.5741271972656,239.435470581055,10.2158699035645
1667595696.40392,35.0833606,-106.6713503,4.58999967575073,7.07637643814087,4.51579189300537,0.409908980131149,8.2031364440918,12.5758972167969,239.899322509766,9.14596939086914
1667595756.42632,35.0832464,-106.6712414,4.56999969482422,7.08610820770264,4.40665674209595,0.411191791296005,8.20181846618652,12.5626831054688,240.422546386719,9.31062602996826
1667595816.41323,35.0832121,-106.6711518,4.58999967575073,7.12789392471314,4.74657487869263,0.414605647325516,8.19501686096191,12.5661926269531,239.152816772461,9.77115821838379
1667595876.42134,35.0833295,-106.6713405,4.56999969482422,7.11524820327759,4.35469436645508,0.402303576469421,8.19301223754883,12.5758972167969,241.242538452148,12.6389303207397
1667595936.42975,35.0834907,-106.6715076,4.63000011444092,7.10559368133545,4.41207218170166,0.408587336540222,8.19333648681641,12.5741271972656,241.233459472656,12.1773691177368
1667595996.40442,35.0836467,-106.6716675,3.04999995231628,7.09821796417236,4.89234828948975,0.409216165542603,8.20367240905762,12.5873413085938,242.498443603516,8.35016632080078
1667596602.47986,35.0833451,-106.6714805,2.90999984741211,7.12272882461548,4.71579170227051,0.410951972007751,8.16489028930664,12.589111328125,243.783599853516,8.71375465393066
1667596662.42008,35.0835238,-106.6716046,3.89999985694885,7.12272882461548,4.71579170227051,0.414828062057495,8.16049003601074,12.589111328125,243.783599853516,9.05677318572998
